--- Vocabulary Part 4 ---

J:

jail (जेल): कारागार (kaaragaar) | क़ैदख़ाना (qaidkhana)
jet (जेट): जेट विमान (jet vimaan) | जेट तय्यारा (jet tayyara)
joint (जॉइंट): संयुक्त (sanyukt) / जोड़ (jod) | मुश्तरका (mushtaraka) / जोड़ (jod)
journalism (जर्नलिज्म): पत्रकारिता (patrakaarita) | सहाफ़त (sahafat)
judicial (जुडिशियल): न्यायिक (nyaayik) | अदालती (adalaati)
junction (जंक्शन): संगम (sangam) / जंक्शन (junction) | जंक्शन (junction)
jurisdiction (ज्यूरिस्डिक्शन): क्षेत्राधिकार (kshetraadhikaar) | इख़्तियार-ए-समाअत (ikhtiyar-e-sama'at)
jury (ज्यूरी): निर्णायक मंडल (nirnayak mandal) | ज्यूरी (jury) / मुंसिफ़ीन (munsifeen)
just (जस्ट): केवल (keval) / न्यायसंगत (nyaayasangat) | सिर्फ़ (sirf) / आदिल (aadil)
justification (जस्टिफिकेशन): औचित्य (auchitya) | जवाज़ (jawaz)

K:

kidnap (किडनैप): अपहरण करना (apaharan karna) | अग़वा करना (agwa karna)
kidney (किडनी): गुर्दा (gurda) | गुर्दा (gurda)
kingdom (किंगडम): साम्राज्य (saamraajya) | सल्तनत (saltanat)
kit (किट): उपकरण संदूक (upkaran sandook) | किट (kit) / सामान (saaman)
L से शुरू होने वाले शब्द
lad (लैड): लड़का (ladka) | लड़का (ladka) / छोकरा (chhokra)
ladder (लैडर): सीढ़ी (seedhi) | सीढ़ी (seedhi)
landing (लैंडिंग): अवतरण (avtaran) | उतरना (utarna)
landlord (लैंडलॉर्ड): मकान मालिक (makaan maalik) | ज़मींदार (zameendaar)
landmark (लैंडमार्क): सीमा-चिह्न (seema-chihna) | मारूफ़ जगह (maroof jagah)
lane (लेन): गली (galee) | गली (galee) / कूँचा (kooncha)
lap (लैप): गोद (gode) | गोद (gode)
large-scale (लार्ज-स्केल): बड़े पैमाने पर (bade paimaane par) | बड़े पैमाने पर (bade paimaane par)
laser (लेज़र): लेज़र (laser) | लेज़र (laser)
lately (लेटली): हाल ही में (haal hee mein) | हाल ही में (haal hee mein)
latter (लैटर): बाद वाला (baad wala) | मोअख्ख़र (moakh-khar)
lawn (लॉन): घास का मैदान (ghaas ka maidaan) | चमन (chaman) / लॉन (lawn)
lawsuit (लॉसुट): मुक़दमा (muqadama) | मुक़दमा (muqadama)
layout (लेआउट): विन्यास (vinyaas) | ख़ाका (khaaka)
leaflet (लीफलेट): विवरणिका (vivaranika) | इश्तहार (ishtahar)
leak (लीक): रिसाव (risaav) | टपकना (tapakna) / लीक (leak)
leap (लीप): छलांग (chhalaang) | छलांग (chhalaang)
legacy (लेगसी): विरासत (viraasat) | विरसा (virsa) / मीरास (meeraas)
legend (लेजेंड): दंतकथा (dantakatha) | अफ़साना (afsana)
legendary (लेजेंडरी): महान (mahaan) / पौराणिक (pauraanik) | मारूफ़ (maroof) / अफ़सानवी (afsaanvi)
legislation (लेजिसलेशन): विधान (vidhaan) | क़ानून साज़ी (qanoon saazi)
legislative (लेजिसलेटिव): विधायी (vidhaayi) | मुक़न्नमा (muqannama)
legislature (लेजिसलेचर): विधानमंडल (vidhaanmandal) | मजलिस-ए-शूरा (majlis-e-shoora)
legitimate (लेजिटिमेट): वैध (vaidh) | जाइज़ (jaiz)
lengthy (लेंग्थी): लंबा (lamba) | तवील (taveel)
lens (लेंस): लेंस (lens) | अद्सा (adsa) / लेंस (lens)
lesbian (लेस्बियन): समलैंगिक महिला (samlaingik mahila) | औरत परस्त (aurat parast)
lesser (लेसर): छोटा (chhota) / कमतर (kamtar) | कमतर (kamtar)
lethal (लीथल): जानलेवा (jaanleva) | कातिल (kaatil) / मुहुलिक (moohlik)
liable (लायबल): उत्तरदायी (uttardaayi) | ज़िम्मेदार (zimmedaar)
liberal (लिबरल): उदारवादी (udaarvaadi) | रौशन-ख़याल (raushan-khayal)
liberation (लिबरेशन): मुक्ति (mukti) | आज़ादी (aazaadi) / रिहाई (rihaai)
liberty (लिबर्टी): स्वतंत्रता (swatantrata) | आज़ादी (aazaadi)
license (लाइसेंस): अनुज्ञप्ति (anugyapti) | लाइसेंस (license) / इजाज़त नामा (ijazat nama)
lifelong (लाइफलॉन्ग): आजीवन (aajeevan) | उम्र भर का (umr bhar ka)
lifetime (लाइफटाइम): जीवनकाल (jeevankaal) | हयात (hayaat) / उम्र (umr)
lighting (लाइटिंग): रोशनी (roshanee) | चराग़ाँ (charaghan) / लाइटिंग (lighting)
likelihood (लाइकलीहुड): संभावना (sambhaavana) | इमकान (imkaan)
likewise (लाइकवाइज़): उसी प्रकार (usee prakaar) | इसी तरह (isee tarah)
limb (लिम्ब): अंग (ang) | अज़ू (azu)
limitation (लिमिटेशन): सीमा (seema) | पाबंदी (pabandi) / हुदूद (hudood)
line-up (लाइन-अप): कतार (kataar) | सफ़-बंदी (saf-bandi)
linear (लीनियर): रैखिक (raikhik) | ख़ती (khati)
linger (लिंगर): देर तक रुकना (der tak rukna) | टिके रहना (tike rehna)
listing (लिस्टिंग): सूचीकरण (soocheekaran) | फेहरिस्त साज़ी (fehrist saazi)
literacy (लिटरेसी): साक्षरता (saaksharata) | ख़्वांदगी (khwandagi)
literally (लिटरेली): सचमुच (sachamuch) | लफ़्ज़ी तौर पर (lafzi taur par)
literary (लिटरेरी): साहित्यिक (saahityik) | अदबी (adabi)
litre (लीटर): लीटर (litre) | लीटर (litre)
litter (लिटर): कूड़ा-कचरा (kooda-kachra) | कूला (koola)
liver (लीवर): यकृत (yakrit) | जिगर (jigar)
lobby (लॉबी): बरामदा (baraamda) / प्रभाव समूह (prabhaav samooh) | ड्योढ़ी (dyodhi) / लॉबी (lobby)
log (लॉग): लकड़ी का कुंदा (lakdee ka kunda) | लट्ठा (lattha)
logic (लॉजिक): तर्क (tark) | मंतिक़ (mantiq)
logo (लोगो): प्रतीक चिह्न (prateek chihna) | लोगो (logo)
long-standing (लॉन्ग-स्टैंडिंग): दीर्घकालिक (deerghakaalik) | पुराना (puraana) / दीरीना (deerina)
long-time (लॉन्ग-टाइम): लंबे समय का (lambe samay ka) | दीरीना (deerina)
loom (लूम): करघा (kargha) / धुंधला दिखाई देना (dhundhla dikhai dena) | करघा (kargha)
loop (लूप): फंदा (phanda) | फंदा (phanda) / चक्कर (chakkar)
lottery (लॉटरी): भाग्य-क्रीड़ा (bhaagya-kreeda) | क़ुरआ (qur'aa) / लॉटरी (lottery)
loyal (लॉयल): वफादार (vaphadaar) | वफ़ादार (wafaadaar)
loyalty (लॉयल्टी): वफादारी (vaphadaaree) | वफ़ादारी (wafaadaari)
