--- Vocabulary Part 6 ---

R:

racial (रेशियल): नस्लीय (nasliya) | नस्ली (nasli)
racism (रेसिज्म): जातिवाद (jaativaad) | नस्ल-परस्ती (nasl-parasti)
racist (रेसिस्ट): नस्लवादी (naslvaadi) | नस्ल-परस्त (nasl-parast)
radar (राडार): राडार (radar) | राडार (radar)
radiation (रेडिएशन): विकिरण (vikiran) | शुआ-अंदाज़ी (shua-andazi)
radical (रैडिकल): मौलिक (maulik) / उग्र (ugra) | बुनियादी (bunayaadi) / चरमपंथी (charampanthi)
rage (रेज): तीव्र क्रोध (teevra krodh) | ग़ुस्सा (gussa) / तैश (taish)
raid (रेड): छापा (chhaapa) | छापा (chhaapa) / यलग़ार (yalgaar)
rail (रेल): रेल (rail) / पटरी (patree) | रेल (rail) / पटरी (patree)
rally (रैली): जनसभा (jansabha) | जलसा (jalsa) / रैली (rally)
random (रैंडम): यादृच्छिक (yaadrichhik) | बिना सोचे-समझे (bina soche-samjhe) / इत्तिफ़ाक़िया (ittifaqiya)
ranking (रैंकिंग): श्रेणी (shreni) | दर्जा-बंदी (darja-bandi)
rape (रेप): बलात्कार (balaatkaar) | इज़्ज़त-दरी (izzat-dari) / ज़िना-बिल्-जबर (zina-bil-jabr)
rat (रैट): चूहा (chooha) | चूहा (chooha)
rating (रेटिंग): मूल्यांकन (moolyaankan) | दर्जा (darja)
ratio (रेश्यो): अनुपात (anupaat) | तनासुब (tanasub)
rational (रैशनल): तर्कसंगत (tarksangat) | मंतक़ी (mantiqi) / अक़्लमंद (aqlmand)
ray (रे): किरण (kiran) | शुआ (shua) / किरण (kiran)
readily (रेडिली): आसानी से (aasaanee se) | ब-ख़ुशी (ba-khushi) / आसानी से (aasaanee se)
realization (रियलाइजेशन): अहसास (ehsaas) / प्राप्ति (praapti) | अहसास (ehsaas) / वसूली (vasooli)
realm (रेल्म): क्षेत्र (kshetra) / साम्राज्य (saamraajya) | सल्लतनत (saltanat) / दायरा (dayara)
rear (रियर): पिछला हिस्सा (pichhla hissa) | पिछला हिस्सा (pichhla hissa)
